province,year,total_count,PM25_dcount
CHANGWAT UTHAI THANI,2018,675,32.57449606
CHANGWAT UTTARADIT,2018,814,35.45634553
CHANGWAT YALA,2018,446,24.29560315
CHANGWAT YASOTHON,2018,422,32.66203496
BANGKOK,2019,158,32.12019373
CHANGWAT AMNAT CHAROEN,2019,335,32.83640334
CHANGWAT ANG THONG,2019,99,36.15059475
CHANGWAT BUENG KAN,2019,410,35.47018233
CHANGWAT BURI RAM,2019,1023,32.88413512
CHANGWAT CHACHOENGSAO,2019,527,31.97098528
CHANGWAT CHAI NAT,2019,259,38.67604287
CHANGWAT CHAIYAPHUM,2019,1302,34.08989467
CHANGWAT CHANTHABURI,2019,650,29.61113309
CHANGWAT CHIANG MAI,2019,2305,36.70001716
CHANGWAT CHIANG RAI,2019,1214,44.52548515
CHANGWAT CHON BURI,2019,453,32.57980431
CHANGWAT CHUMPHON,2019,601,28.88693801
CHANGWAT KALASIN,2019,711,35.86835625
CHANGWAT KAMPHAENG PHET,2019,879,41.40973391
CHANGWAT KANCHANABURI,2019,1977,34.82742006
CHANGWAT KHON KAEN,2019,1097,35.80968542
CHANGWAT KRABI,2019,531,26.11945014
CHANGWAT LAMPANG,2019,1301,39.72027413
CHANGWAT LAMPHUN,2019,465,36.19110163
CHANGWAT LOEI,2019,1081,34.43871184
CHANGWAT LOP BURI,2019,663,34.77425745
CHANGWAT MAE HONG SON,2019,1335,36.23115307
CHANGWAT MAHA SARAKHAM,2019,571,33.50648249
CHANGWAT MUKDAHAN,2019,417,33.87399287
CHANGWAT NAKHON NAYOK,2019,220,29.89425234
CHANGWAT NAKHON PATHOM,2019,222,34.07081058
CHANGWAT NAKHON PHANOM,2019,579,34.31501102
CHANGWAT NAKHON RATCHASIMA,2019,2118,33.48325354
CHANGWAT NAKHON SAWAN,2019,973,37.92827534
CHANGWAT NAKHON SI THAMMARAT,2019,984,27.02241836
CHANGWAT NAN,2019,1270,39.90656534
CHANGWAT NARATHIWAT,2019,445,26.13392356
CHANGWAT NONG BUA LAM PHU,2019,425,35.92895599
CHANGWAT NONG KHAI,2019,344,35.63332602
CHANGWAT NONTHABURI,2019,63,31.09269154
CHANGWAT PATHUM THANI,2019,151,31.33010182
CHANGWAT PATTANI,2019,201,27.89044222
CHANGWAT PHANGNGA,2019,454,26.89388406
CHANGWAT PHATTHALUNG,2019,384,26.5160742
CHANGWAT PHAYAO,2019,646,44.16806323
CHANGWAT PHETCHABUN,2019,1271,33.63033027
CHANGWAT PHETCHABURI,2019,625,32.78461601
CHANGWAT PHICHIT,2019,446,37.47778601
CHANGWAT PHITSANULOK,2019,1086,37.41366021
CHANGWAT PHRA NAKHON SI AYUTTHAYA,2019,264,34.11021039
CHANGWAT PHRAE,2019,671,39.24775324
CHANGWAT PHUKET,2019,52,30.57636818
CHANGWAT PRACHIN BURI,2019,509,31.37272542
CHANGWAT PRACHUAP KHIRI KHAN,2019,646,31.74974085
CHANGWAT RANONG,2019,324,27.99252974
CHANGWAT RATCHABURI,2019,527,34.15510481
CHANGWAT RAYONG,2019,373,30.98595291
CHANGWAT ROI ET,2019,801,33.03207598
CHANGWAT SA KAEO,2019,691,32.54290576
CHANGWAT SAKON NAKHON,2019,990,34.19208658
CHANGWAT SAMUT PRAKAN,2019,99,36.62869655
CHANGWAT SAMUT SAKHON,2019,88,34.50507202
CHANGWAT SAMUT SONGKHRAM,2019,43,33.09568804
CHANGWAT SARABURI,2019,353,33.7919301
CHANGWAT SATUN,2019,306,27.35614621
CHANGWAT SI SA KET,2019,900,32.77838206
CHANGWAT SING BURI,2019,82,36.27357858
CHANGWAT SONGKHLA,2019,770,29.7514335
CHANGWAT SUKHOTHAI,2019,692,40.07229961
CHANGWAT SUPHAN BURI,2019,552,37.55835151
CHANGWAT SURAT THANI,2019,1313,27.56385948
